"","k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","phat.mn","phatBias.mn","Cover.mn","Porig.mn","Reject.mn","I2.mn","k.pretty","muN.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty","N.tot","N.tot.pretty"
"86",10,0.25,50,"reml",0,200,"normal",1904,0.0719537815126051,-0.00493697478991597,1,0.479257511654853,0.092436974789916,67.4907055968925,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",500,"N =  500"
"87",10,0.25,50,"reml",0,200,"t.scaled",1024,0.04970703125,-0.000292968750000001,1,0.516993266107109,0.1005859375,80.2404865322687,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",500,"N =  500"
"88",10,0.25,50,"reml",0,200,"unif2",1024,0.0875,0.0375,1,0.399757041046205,0.0634765625,70.2526217373564,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",500,"N =  500"
"89",10,0.25,300,"pm",0,200,"expo",1024,0.04501953125,-0.00498046875,0.994594594594595,0.483778608483119,0.083984375,90.0438104322893,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",3000,"N =  3000"
"90",10,0.25,300,"pm",0,200,"normal",2048,0.07783203125,0.00283203125,0.998129092609916,0.490425428248481,0.0751953125,93.0979641429652,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",3000,"N =  3000"
"91",10,0.25,300,"pm",0,200,"t.scaled",1024,0.049609375,-0.000390625000000001,1,0.519780063448212,0.1005859375,96.0433813054973,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",3000,"N =  3000"
"92",10,0.25,300,"pm",0,200,"unif2",1024,0.06650390625,0.01650390625,1,0.421281608410672,0.0302734375,94.1631585125283,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",3000,"N =  3000"
"93",10,0.25,300,"reml",0,200,"expo",1024,0.04501953125,-0.00498046875,0.994594594594595,0.482948707693085,0.0849609375,89.9942908045952,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Exponential",3000,"N =  3000"
"94",10,0.25,300,"reml",0,200,"normal",2048,0.07783203125,0.00283203125,0.998129092609916,0.49012930587816,0.0751953125,93.0827223040599,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Normal",3000,"N =  3000"
"95",10,0.25,300,"reml",0,200,"t.scaled",1024,0.049609375,-0.000390625000000001,1,0.519333426813088,0.1015625,96.0319121831863,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","t",3000,"N =  3000"
"96",10,0.25,300,"reml",0,200,"unif2",1024,0.06650390625,0.01650390625,1,0.421182481357393,0.0302734375,94.1611737620389,"No. replications: 10","E[N] =  ","Norig =  200","delta =  0","V =  0.25","Uniform mixture",3000,"N =  3000"
"97",15,0.002,50,"pm",0,200,"expo",1024,0.27109375,0.22109375,0.996539792387543,0.58849470862118,0.013671875,21.7898909613963,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",750,"N =  750"
"98",15,0.002,50,"pm",0,200,"normal",2048,0.3255859375,0.2505859375,0.998898071625344,0.593249033681096,0.01220703125,21.6278575693538,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",750,"N =  750"
"99",15,0.002,50,"pm",0,200,"t.scaled",1024,0.2345703125,0.1845703125,1,0.580927116005134,0.0234375,23.4756562732196,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",750,"N =  750"
"100",15,0.002,50,"pm",0,200,"unif2",1024,0.3369140625,0.2869140625,0.996659242761693,0.590727807675024,0.0126953125,20.8709009114088,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",750,"N =  750"
"101",15,0.002,50,"reml",0,200,"expo",1024,0.27109375,0.22109375,0.996539792387543,0.582822181547374,0.0146484375,20.4656223912311,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",750,"N =  750"
"102",15,0.002,50,"reml",0,200,"normal",2048,0.3255859375,0.2505859375,0.998898071625344,0.587972607272594,0.01416015625,20.3573226647258,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",750,"N =  750"
"103",15,0.002,50,"reml",0,200,"t.scaled",1024,0.2345703125,0.1845703125,1,0.57539111452104,0.0244140625,22.158845227959,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",750,"N =  750"
"104",15,0.002,50,"reml",0,200,"unif2",1024,0.3369140625,0.2869140625,0.996659242761693,0.585889850018237,0.013671875,19.6892759269749,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",750,"N =  750"
"105",15,0.002,300,"pm",0,200,"expo",1536,0.145876736111111,0.0792100694444445,0.99909008189263,0.52590012347767,0.0377604166666667,25.7621918196054,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",4500,"N =  4500"
"106",15,0.002,300,"pm",0,200,"normal",2048,0.180110677083333,0.105110677083333,0.996277915632754,0.521852604511714,0.04638671875,26.0107856833791,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",4500,"N =  4500"
"107",15,0.002,300,"pm",0,200,"t.scaled",1024,0.1140625,0.0640625,0.99568345323741,0.504350818712138,0.046875,33.7651682598795,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",4500,"N =  4500"
"108",15,0.002,300,"pm",0,200,"unif2",1024,0.20546875,0.15546875,0.996372430471584,0.53137336493868,0.029296875,25.7871642060927,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Uniform mixture",4500,"N =  4500"
"109",15,0.002,300,"reml",0,200,"expo",1536,0.145876736111111,0.0792100694444445,0.99909008189263,0.525508695961535,0.0390625,25.5067156353346,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Exponential",4500,"N =  4500"
"110",15,0.002,300,"reml",0,200,"normal",2048,0.180110677083333,0.105110677083333,0.996277915632754,0.521546143067402,0.04638671875,25.8067110589752,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","Normal",4500,"N =  4500"
"111",15,0.002,300,"reml",0,200,"t.scaled",1024,0.1140625,0.0640625,0.99568345323741,0.503974227976222,0.046875,33.5613044133205,"No. replications: 15","E[N] =  ","Norig =  200","delta =  0","V =  0.002","t",4500,"N =  4500"
