"k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","Reject.mn","EstMean.mn","EstVar.mn","I2.mn","N.tot","k.pretty","N.tot.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty"
5,0.002,50,"reml",1,30,"expo",6144,0.495768229166667,0.49785875245122,0.056581399221484,32.9413262613406,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Exponential"
5,0.002,50,"reml",1,30,"normal",6144,0.515625,0.497614635473733,0.0539362502307378,31.9719299458212,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Normal"
5,0.002,50,"reml",1,30,"t.scaled",6144,0.494466145833333,0.494134281763988,0.0580539787982744,33.4037742131272,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","t"
5,0.002,50,"reml",1,30,"unif2",6144,0.506510416666667,0.493906274757403,0.0547956736898326,32.3600072643329,250,"No. replications: 5","N =  250","Norig =  30","delta =  1","V =  0.002","Uniform mixture"
5,0.002,50,"reml",1,50,"expo",6144,0.670572916666667,0.500961314525771,0.0558121179876072,32.4468444542272,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Exponential"
5,0.002,50,"reml",1,50,"normal",6144,0.676106770833333,0.497218000949233,0.0548480414973534,32.3151213442348,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Normal"
5,0.002,50,"reml",1,50,"t.scaled",6144,0.653645833333333,0.497327486316025,0.0614352146488486,34.1348819547833,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","t"
5,0.002,50,"reml",1,50,"unif2",6144,0.684895833333333,0.501761826474299,0.0546312603024631,32.142749252063,250,"No. replications: 5","N =  250","Norig =  50","delta =  1","V =  0.002","Uniform mixture"
5,0.002,50,"reml",1,200,"expo",5552,0.912103746397695,0.500199398875062,0.0549607347114754,32.216604636198,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Exponential"
5,0.002,50,"reml",1,200,"normal",4672,0.903681506849315,0.498428017241704,0.0562332066529688,32.8779841507975,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Normal"
